"submission_location"
"Office of the Chief District Medical Officer( DISTRICT - RAYAGADA )"
"Office of the Chief District Medical Officer( DISTRICT - GAJAPATI )"
"Office of the Chief District Medical Officer( DISTRICT - MALKANGIRI )"
"Office of the Chief District Medical Officer( DISTRICT - SONEPUR )"
"Office of the Chief District Medical Officer( DISTRICT - MAYURBHANJ )"
"Office of the Chief District Medical Officer( DISTRICT - NAYAGARH )"
"Office of the Chief District Medical Officer( DISTRICT - SUNDARGARH )"
"Office of the Chief District Medical Officer( DISTRICT - BALESHWAR )"
"Office of the Chief District Medical Officer( DISTRICT - DHENKANAL )"
"Office of the Chief District Medical Officer( DISTRICT - KALAHANDI )"
"Office of the Chief District Medical Officer( DISTRICT - KENDUJHAR )"
"Office of the Chief District Medical Officer( DISTRICT - JHARSUGUDA )"
"Office of the Chief District Medical Officer( DISTRICT - ANUGUL )"
"Office of the Chief District Medical Officer( DISTRICT - GANJAM )"
"Office of the Chief District Medical Officer( DISTRICT - BHADRAK )"
"Office of the Chief District Medical Officer( DISTRICT - BALANGIR )"
"Office of the Chief District Medical Officer( DISTRICT - SAMBALPUR )"
"Office of the Chief District Medical Officer( DISTRICT - KENDRAPARA )"
"Office of the Chief District Medical Officer( DISTRICT - NUAPADA )"
"Office of the Chief District Medical Officer( DISTRICT - KANDHAMAL )"
"Office of the Chief District Medical Officer( DISTRICT - KORAPUT )"
"Office of the Chief District Medical Officer( DISTRICT - PURI )"
"Office of the Chief District Medical Officer( DISTRICT - NABARANGPUR )"
"Office of the Chief District Medical Officer( DISTRICT - BOUDH )"
"Office of the Chief District Medical Officer( DISTRICT - KHORDHA )"
"Office of the Chief District Medical Officer( DISTRICT - BARGARH )"
"Office of the Chief District Medical Officer( DISTRICT - JAGATSINGHAPUR )"
"Office of the Chief District Medical Officer( DISTRICT - CUTTACK )"
"Office of the Chief District Medical Officer( DISTRICT - DEOGARH )"
"Office of the Chief District Medical Officer( DISTRICT - JAJAPUR )"
