"submission_location"
"Office of the Chief District Medical Officer( DISTRICT - MAYURBHANJ )"
"Office of the Chief District Medical Officer( DISTRICT - RAYAGADA )"
"Office of the Chief District Medical Officer( DISTRICT - KHORDHA )"
"Office of the Chief District Medical Officer( DISTRICT - KHORDHA )"
"Office of the Chief District Medical Officer( DISTRICT - KHORDHA )"
"Office of the Chief District Medical Officer( DISTRICT - MAYURBHANJ )"
"Office of the Chief District Medical Officer( DISTRICT - BALANGIR )"
"Office of the Chief District Medical Officer( DISTRICT - JAGATSINGHAPUR )"
"Office of the Chief District Medical Officer( DISTRICT - CUTTACK )"
"Office of the Chief District Medical Officer( DISTRICT - BARGARH )"
